Point Forecast,Lo 80,Hi 80,Lo 95,Hi 95
101.89710453695395,101.04233004523306,102.75187902867484,100.58983976219278,103.20436931171511
101.99297581705113,100.61393413871663,103.37201749538563,99.88391357142336,104.1020380626789
102.0888470971483,100.3358860395459,103.84180815475071,99.40792450958007,104.76976968471654
102.18471837724549,100.12462396475914,104.24481278973184,99.03407585783224,105.33536089665874
102.28058965734266,99.953551731729,104.60762758295633,98.72169226492801,105.83948704975731
102.37646093743984,99.8100973571708,104.94282451770889,98.45154654164254,106.30137533323715
102.47233221753702,99.68713230639631,105.25753212867772,98.21273653497065,106.73192790010339
102.5682034976342,99.58015144589461,105.55625554937379,97.99837223778016,107.13803475748824
102.66407477773137,99.48609246456598,105.84205709089676,97.80377024939776,107.52437930606499
102.75994605782856,99.40276150798937,106.11713060766775,97.62557535902414,107.89431675663297
102.85581733792573,99.32852310288297,106.38311157296849,97.4612863261192,108.25034834973226
102.95168861802291,99.26211938307789,106.64125785296794,97.3089794103866,108.59439782565923
103.04755989812008,99.20255825204245,106.89256154419772,97.16713733111482,108.92798246512535
103.14343117821727,99.14904083960154,107.137821516833,97.03453832180328,109.25232403463126
103.23930245831444,99.10091259073145,107.37769232589743,96.91018132692922,109.56842358969966
103.33517373841161,99.05762920737509,107.61271826944814,96.79323391444899,109.87711356237423
103.4310450185088,99.01873227643266,107.84335776058494,96.68299500202632,110.17909503499128
103.52691629860597,98.98383141575661,108.07000118145532,96.57886755168786,110.47496504552407
103.62278757870315,98.95259092634886,108.29298423105745,96.4803381561205,110.76523700128581
103.71865885880032,98.92471963405538,108.51259808354527,96.38696150288385,111.0503562147168
103.81453013889751,98.89996303594377,108.72909724185125,96.2983483633313,111.33071191446372
103.91040141899468,98.8780971427886,108.94270569520076,96.21415617550389,111.60664666248547
104.00627269909187,98.85892359035552,109.15362180782822,96.13408156748461,111.87846383069912
104.10214397918904,98.84226571385857,109.36202224451951,96.05785435379904,112.14643360457903
