Lag,ACF
0,1
1,0.9973782648360814
2,0.9946345875837179
3,0.99194479035804
4,0.9892143021767987
5,0.9864392126160652
6,0.9836527487635893
7,0.9807729763926104
8,0.9778782087582665
9,0.9749894121632713
10,0.9721277320897236
11,0.9691373411214786
12,0.966132942715781
13,0.96314799885288
14,0.9601697408092861
15,0.9571850785119385
16,0.9542563011305648
17,0.9512308289918622
18,0.948176134707333
19,0.9451251473748467
20,0.9421231098657734
21,0.9391343325258469
22,0.936149180023351
23,0.9331773434859225
24,0.930223898752397
25,0.9273409998707728
26,0.9245078584365268
27,0.9217274966083416
28,0.9189824559346484
29,0.9162276961877568
