Date,Short_Sector,Group,Value
1953-02-01,Mining,Mining,614
1953-02-01,Manufacturing Total,Manufacturing,29.5
1953-03-01,Mining,Mining,617.7
1953-03-01,Manufacturing Total,Manufacturing,29.7
1953-04-01,Mining,Mining,611.4
1953-04-01,Manufacturing Total,Manufacturing,29.9
1953-05-01,Mining,Mining,597.5
1953-05-01,Manufacturing Total,Manufacturing,30.1
1953-06-01,Mining,Mining,579.6
1953-06-01,Manufacturing Total,Manufacturing,30.1
1953-07-01,Mining,Mining,565.5
1953-07-01,Manufacturing Total,Manufacturing,30.1
1953-08-01,Mining,Mining,564
1953-08-01,Manufacturing Total,Manufacturing,30.3
1953-09-01,Mining,Mining,579.6
1953-09-01,Manufacturing Total,Manufacturing,30.9
1953-10-01,Mining,Mining,603
1953-10-01,Manufacturing Total,Manufacturing,31.5
1953-11-01,Mining,Mining,620.8
1953-11-01,Manufacturing Total,Manufacturing,31.9
1953-12-01,Mining,Mining,623.7
1953-12-01,Manufacturing Total,Manufacturing,31.8
1954-01-01,Mining,Mining,616.4
1954-01-01,Manufacturing Total,Manufacturing,31.4
1954-02-01,Mining,Mining,607.9
1954-02-01,Manufacturing Total,Manufacturing,31.1
1954-03-01,Mining,Mining,604.5
1954-03-01,Manufacturing Total,Manufacturing,31.2
1954-04-01,Mining,Mining,604.5
1954-04-01,Manufacturing Total,Manufacturing,31.6
1954-05-01,Mining,Mining,603.5
1954-05-01,Manufacturing Total,Manufacturing,31.9
1954-06-01,Mining,Mining,598.7
1954-06-01,Manufacturing Total,Manufacturing,32
1954-07-01,Mining,Mining,593.2
1954-07-01,Manufacturing Total,Manufacturing,32.1
1954-08-01,Mining,Mining,591.5
1954-08-01,Manufacturing Total,Manufacturing,32.2
1954-09-01,Mining,Mining,596.4
1954-09-01,Manufacturing Total,Manufacturing,32.4
1954-10-01,Mining,Mining,604.7
1954-10-01,Manufacturing Total,Manufacturing,32.7
1954-11-01,Mining,Mining,611.1
1954-11-01,Manufacturing Total,Manufacturing,33
1954-12-01,Mining,Mining,612
1954-12-01,Manufacturing Total,Manufacturing,33.2
1955-01-01,Mining,Mining,608
1955-01-01,Manufacturing Total,Manufacturing,33.4
1955-02-01,Mining,Mining,601.1
1955-02-01,Manufacturing Total,Manufacturing,33.5
1955-03-01,Mining,Mining,593.2
1955-03-01,Manufacturing Total,Manufacturing,33.7
1955-04-01,Mining,Mining,585.5
1955-04-01,Manufacturing Total,Manufacturing,33.8
1955-05-01,Mining,Mining,578.6
1955-05-01,Manufacturing Total,Manufacturing,33.9
1955-06-01,Mining,Mining,573.8
1955-06-01,Manufacturing Total,Manufacturing,34
1955-07-01,Mining,Mining,572.6
1955-07-01,Manufacturing Total,Manufacturing,34
1955-08-01,Mining,Mining,577.3
1955-08-01,Manufacturing Total,Manufacturing,34.1
1955-09-01,Mining,Mining,588
1955-09-01,Manufacturing Total,Manufacturing,34.4
1955-10-01,Mining,Mining,599.7
1955-10-01,Manufacturing Total,Manufacturing,34.7
1955-11-01,Mining,Mining,605.9
1955-11-01,Manufacturing Total,Manufacturing,34.8
1955-12-01,Mining,Mining,602.5
1955-12-01,Manufacturing Total,Manufacturing,34.7
1956-01-01,Mining,Mining,594
1956-01-01,Manufacturing Total,Manufacturing,34.4
1956-02-01,Mining,Mining,587.6
1956-02-01,Manufacturing Total,Manufacturing,34.2
1956-03-01,Mining,Mining,588
1956-03-01,Manufacturing Total,Manufacturing,34.2
1956-04-01,Mining,Mining,592.8
1956-04-01,Manufacturing Total,Manufacturing,34.2
1956-05-01,Mining,Mining,596.9
1956-05-01,Manufacturing Total,Manufacturing,34.2
1956-06-01,Mining,Mining,596.7
1956-06-01,Manufacturing Total,Manufacturing,34.1
1956-07-01,Mining,Mining,593.5
1956-07-01,Manufacturing Total,Manufacturing,33.9
1956-08-01,Mining,Mining,590.1
1956-08-01,Manufacturing Total,Manufacturing,33.7
1956-09-01,Mining,Mining,588.4
1956-09-01,Manufacturing Total,Manufacturing,33.6
1956-10-01,Mining,Mining,588.8
1956-10-01,Manufacturing Total,Manufacturing,33.6
1956-11-01,Mining,Mining,590.8
1956-11-01,Manufacturing Total,Manufacturing,33.8
1956-12-01,Mining,Mining,593.9
1956-12-01,Manufacturing Total,Manufacturing,34.1
1957-01-01,Mining,Mining,597.6
1957-01-01,Manufacturing Total,Manufacturing,34.4
1957-02-01,Mining,Mining,601.1
1957-02-01,Manufacturing Total,Manufacturing,34.6
1957-03-01,Mining,Mining,603.5
1957-03-01,Manufacturing Total,Manufacturing,34.7
1957-04-01,Mining,Mining,603.8
1957-04-01,Manufacturing Total,Manufacturing,34.6
1957-05-01,Mining,Mining,600.7
1957-05-01,Manufacturing Total,Manufacturing,34.7
1957-06-01,Mining,Mining,593.9
1957-06-01,Manufacturing Total,Manufacturing,35
1957-07-01,Mining,Mining,585.8
1957-07-01,Manufacturing Total,Manufacturing,35.3
1957-08-01,Mining,Mining,579.7
1957-08-01,Manufacturing Total,Manufacturing,35.4
1957-09-01,Mining,Mining,577.6
1957-09-01,Manufacturing Total,Manufacturing,35.3
1957-10-01,Mining,Mining,577.4
1957-10-01,Manufacturing Total,Manufacturing,34.9
1957-11-01,Mining,Mining,575.7
1957-11-01,Manufacturing Total,Manufacturing,34.7
1957-12-01,Mining,Mining,570.4
1957-12-01,Manufacturing Total,Manufacturing,34.7
1958-01-01,Mining,Mining,563.2
1958-01-01,Manufacturing Total,Manufacturing,34.8
1958-02-01,Mining,Mining,557.4
1958-02-01,Manufacturing Total,Manufacturing,34.9
1958-03-01,Mining,Mining,554.9
1958-03-01,Manufacturing Total,Manufacturing,34.8
1958-04-01,Mining,Mining,553.9
1958-04-01,Manufacturing Total,Manufacturing,34.6
1958-05-01,Mining,Mining,551.5
1958-05-01,Manufacturing Total,Manufacturing,34.4
1958-06-01,Mining,Mining,546
1958-06-01,Manufacturing Total,Manufacturing,34.1
1958-07-01,Mining,Mining,539.9
1958-07-01,Manufacturing Total,Manufacturing,34
1958-08-01,Mining,Mining,536.7
1958-08-01,Manufacturing Total,Manufacturing,34
1958-09-01,Mining,Mining,538.4
1958-09-01,Manufacturing Total,Manufacturing,34.3
1958-10-01,Mining,Mining,542.1
1958-10-01,Manufacturing Total,Manufacturing,34.6
1958-11-01,Mining,Mining,543.5
1958-11-01,Manufacturing Total,Manufacturing,34.8
1958-12-01,Mining,Mining,539.9
1958-12-01,Manufacturing Total,Manufacturing,34.8
1959-01-01,Mining,Mining,533.5
1959-01-01,Manufacturing Total,Manufacturing,34.8
1959-02-01,Mining,Mining,528.6
1959-02-01,Manufacturing Total,Manufacturing,34.8
1959-03-01,Mining,Mining,527.9
