Lag,ACF
0,1
1,0.2261812327847747
2,-0.05749868960066555
3,-0.01474625326389002
4,0.058115618766166
5,0.054288344697455686
6,0.08638663368743545
7,0.020880559021813194
8,-0.049552353554961716
9,0.02652838042880568
10,0.14389658931908
11,-0.02930609031080242
12,-0.022946346673959783
13,-0.03753186215439539
14,-0.03389551379739905
15,-0.030940300423016997
16,-0.010188237628698764
17,-6.199290699195776e-4
18,-0.041345699791128024
19,-0.07030246266650747
20,-0.021338462867767537
21,-0.03708958890768826
22,-0.017611871383936568
23,-0.031423961122970086
24,-0.09752273143809696
25,-0.030804226234529195
26,-0.00851180066280959
27,-0.02259462180107754
28,0.005261844769869376
29,-0.03005508529075812
