Point Forecast,Lo 80,Hi 80,Lo 95,Hi 95
101.90326668512394,100.52775421207396,103.27877915817392,99.79960189320592,104.00693147704196
101.9386069932806,99.82092709931418,104.05628688724703,98.69989507988602,105.17731890667518
101.96687924851504,99.18883135316699,104.7449271438631,97.71822163020401,106.21553686682607
101.98949705966989,98.5962405696722,105.38275354966757,96.79995908904907,107.1790350302907
102.00759131416758,98.03332028007482,105.98186234826035,95.92946827874182,108.08571434959335
102.0220667222248,97.4961336392191,106.54799980523052,95.10024938952942,108.94388405492019
102.03364705223784,96.98249822059698,107.0847958838787,94.30858154825198,109.7587125562237
102.04291131910207,96.49080443259068,107.59501820561347,93.55169658498811,110.53412605321604
102.0503227348765,96.01964132359174,108.08100414616126,92.82719142581334,111.27345404393967
102.05625186932248,95.56768013959505,108.5448235990499,92.13283774905942,111.97966598958554
102.06099517834042,95.13364515501812,108.98834520166272,91.46652756653998,112.65546279014086
102.06478982672368,94.71631300330095,109.41326665014641,90.82626435309957,113.30331530034779
102.06782554636543,94.31451935745693,109.82113173527392,90.21016698627896,113.92548410645189
102.07025412282694,93.92716553976608,110.2133427058878,89.61647483308276,114.52403341257111
102.07219698459463,93.55322283852246,110.5911711306668,89.04355033436492,115.10084363482433
102.07375127448758,93.1917342569434,110.95576829203175,88.4898784655455,115.65762408342965
102.07499470678496,92.84181408356532,111.3081753300046,87.95406350837992,116.19592590519001
102.07598945292929,92.50264583120392,111.64933307465466,87.43482384190344,116.71715506395515
102.0767852500899,92.17347905948947,111.98009144069033,86.93098543734419,117.2225850628356
102.0774218880145,91.85362550432957,112.30121827169943,86.44147462218758,117.71336915384141
102.07793119851108,91.54245483853194,112.61340755849022,85.96531054344027,118.1905518535819
102.07833864703385,91.23939030026527,112.91728699380242,85.50159763940326,118.65507965466443
102.07866460595247,90.94390435513142,113.21342485677351,85.04951833135576,119.10781088054918
102.07892537316769,90.65551450293985,113.50233624339553,84.60832607134762,119.54952467498777
