Short_Sector,Group,Observations,Mean,SD,Min,Max,Median
Automotive Products,Consumer Goods,928,53.33509903017241,30.36485515612193,8.9303,114.5012,44.48235
Automotive Products 3mo3m Growth,Consumer Goods 3mo3m Growth,923,1.0396388247560115,9.11346318930149,-50.70663327414593,103.50170498478231,0.8407306050429053
Automotive Products 3mo3my Growth,Consumer Goods 3mo3my Growth,911,4.708864367116466,15.71927618259701,-49.31073146924133,98.25824417637034,4.19862001032032
Automotive Products Growth,Consumer Goods Growth,927,0.46511020935281694,7.135769861357339,-62.47590262722349,95.70172645696205,0.2897100206903591
Consumer Goods,Consumer Goods,928,71.64466648706896,28.75255916864134,20.1689,111.7575,73.4395
Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,923,0.5340795266760495,1.7215318522054575,-10.895742418717703,12.065193705935373,0.5126550013019981
Consumer Goods 3mo3my Growth,Consumer Goods 3mo3my Growth,911,2.7759800391247578,4.866621172196345,-11.709028070517924,22.243339472068758,2.2784171713913226
Consumer Goods Growth,Consumer Goods Growth,927,0.1771771786015456,1.0930703417784688,-11.4537606971443,9.034488185564026,0.1836535937517647
Durable Consumer Goods,Consumer Goods,928,59.71359353448274,31.982894871875118,12.110900000000001,109.8167,52.8755
Durable Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,923,0.7819141135451311,5.000989762686711,-33.54032202219428,51.58236446511955,0.8327912903466572
Durable Consumer Goods 3mo3my Growth,Consumer Goods 3mo3my Growth,911,4.119650736609583,11.66750865968328,-32.978029440491,55.01322675646148,3.899011607996883
Durable Consumer Goods Growth,Consumer Goods Growth,927,0.2742429498912485,3.3473770039828254,-38.87458178879519,43.20174723734394,0.2647038459284934
Durable Manufacturing,Manufacturing,928,46.55247758620694,33.920241134972265,5.4777,104.3278,28.962449999999997
Durable Manufacturing 3mo3m Growth,Manufacturing 3mo3m Growth,923,0.9345800189221676,4.37167432621939,-18.99250138447495,28.595828594275872,1.091291761383828
Durable Manufacturing 3mo3my Growth,Manufacturing 3mo3my Growth,911,4.93370869269428,11.484919944620605,-29.028842264862686,60.45919341204704,4.961611306493197
Durable Manufacturing Growth,Manufacturing Growth,927,0.30928095567278907,2.5339193919750285,-20.63144778022489,26.49237920363643,0.3956670938934037
Electric Power,Utilities,640,79.43773812500001,22.111740390963945,34.6995,112.8159,85.25489999999999
Electric Power 3mo3m Growth,Utilities 3mo3m Growth,635,0.5464033294834011,1.945482231427806,-6.633867908065927,6.894512337579317,0.546639298740681
Electric Power 3mo3my Growth,Utilities 3mo3my Growth,623,2.611526241575681,3.5595265222247,-6.174685684190628,14.714375241479116,2.562319277821712
Electric Power Growth,Utilities Growth,639,0.19996105789564603,1.969145375414976,-7.493050325738482,6.655335812090635,0.22599197594286302
Electric and Gas Utilities,Utilities,928,63.15674913793102,32.70232399886976,7.0887,113.7273,62.5111
Electric and Gas Utilities 3mo3m Growth,Utilities 3mo3m Growth,923,0.9104036443497271,1.9383282254283836,-6.435987448467118,6.161839224569854,1.044061061019419
Electric and Gas Utilities 3mo3my Growth,Utilities 3mo3my Growth,911,4.588999080211878,4.988793575200671,-7.177857093365569,20.435634671130522,4.150100646940236
Electric and Gas Utilities Growth,Utilities Growth,927,0.31353209063210047,1.9016563654160423,-9.414859983574509,7.33637796461557,0.46824160529446157
Final Products,Products,928,64.57004676724137,31.228932360764695,14.6634,110.212,63.340199999999996
Final Products 3mo3m Growth,Products 3mo3m Growth,923,0.6316478961471959,1.741618240655756,-12.2932980045399,10.522541383024997,0.6906605027991342
Final Products 3mo3my Growth,Products 3mo3my Growth,911,3.312094027902108,5.571536088804933,-16.450584886568887,23.563475690280832,3.2281111904965742
Final Products Growth,Products Growth,927,0.20878728614758263,0.9697630720634217,-13.518449743871919,7.189710143908989,0.22886944871969295
Manufacturing Total,Manufacturing,928,56.66628415948273,30.18042326558917,10.7357,106.7819,47.6141
