Model,AIC,BIC,RMSE,MAE,MAPE
UK_ARIMA,2914.8343575445333,2938.923510401804,1.1847660123539958,0.6952727089759917,0.9215227475340461
UK_ETS,6200.870665528238,6224.965285854615,1.2044753995660082,0.675247982200341,0.8986198963540286
US_ARIMA,1857.5703295671415,1872.0238212815038,0.6658897656070623,0.3437574856170064,0.6448724814339757
US_ETS,5102.8833552052865,5131.7968995969395,0.6847711402707349,0.33318222420812293,0.6312125049239103
