Region,Short_Sector,Mean,SD,Min,Max,Median,MAD
UK,Manufacturing Total,62.571677559912835,22.886404883258404,24.6,111.5,57.150000000000006,17.650000000000006
UK,Mining,323.9567538126365,159.93855415385931,31.8,635.5,317.2,101.54999999999998
UK,Pharmaceuticals,107.42969696969696,17.34561505424415,72.6,159.1,104.85,11.100000000000001
US,Manufacturing Total,56.66628415948273,30.18042326558917,10.7357,106.7819,47.6141,27.147549999999995
US,Mining,83.40278631465517,16.38057438066481,37.3007,123.0976,84.3726,5.9998000000000005
