Date,Short_Sector,Group,Value
1948-06-01,Durable Consumer Goods Growth,Consumer Goods Growth,4.18246590422604
1948-06-01,Durable Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,-0.739774795099224
1948-06-01,Automotive Products,Consumer Goods,13.2013
1948-06-01,Automotive Products Growth,Consumer Goods Growth,8.582074206894275
1948-06-01,Automotive Products 3mo3m Growth,Consumer Goods 3mo3m Growth,-3.0711090973981947
1948-06-01,Manufacturing Total,Manufacturing,13.3464
1948-06-01,Manufacturing Total Growth,Manufacturing Growth,0.18315568232998292
1948-06-01,Manufacturing Total 3mo3m Growth,Manufacturing 3mo3m Growth,2.284335243880875
1948-06-01,Durable Manufacturing,Manufacturing,7.6571
1948-06-01,Durable Manufacturing Growth,Manufacturing Growth,1.5409301277035992
1948-06-01,Durable Manufacturing 3mo3m Growth,Manufacturing 3mo3m Growth,-1.023129323546501
1948-06-01,Mining,Mining,53.0316
1948-06-01,Mining Growth,Mining Growth,0
1948-06-01,Mining 3mo3m Growth,Mining 3mo3m Growth,3.5268034767476975
1948-06-01,Electric and Gas Utilities,Utilities,7.3174
1948-06-01,Electric and Gas Utilities Growth,Utilities Growth,0.6990889824677327
1948-06-01,Electric and Gas Utilities 3mo3m Growth,Utilities 3mo3m Growth,1.538934483497445
1948-07-01,Total Index,Total,14.65
1948-07-01,Total Index Growth,Total Growth,0
1948-07-01,Total Index 3mo3m Growth,Total 3mo3m Growth,2.325374760623178
1948-07-01,Final Products,Products,15.4955
1948-07-01,Final Products Growth,Products Growth,0.3711572592659751
1948-07-01,Final Products 3mo3m Growth,Products 3mo3m Growth,0.4992364618818357
1948-07-01,Consumer Goods,Consumer Goods,21.0206
1948-07-01,Consumer Goods Growth,Consumer Goods Growth,-0.18376679186866696
1948-07-01,Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,0.808027292795499
1948-07-01,Durable Consumer Goods,Consumer Goods,13.9761
1948-07-01,Durable Consumer Goods Growth,Consumer Goods Growth,2.5550525025866078
1948-07-01,Durable Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,1.363057673957413
1948-07-01,Automotive Products,Consumer Goods,14.0264
1948-07-01,Automotive Products Growth,Consumer Goods Growth,6.25014203146661
1948-07-01,Automotive Products 3mo3m Growth,Consumer Goods 3mo3m Growth,0.6200358174790255
1948-07-01,Manufacturing Total,Manufacturing,13.444
1948-07-01,Manufacturing Total Growth,Manufacturing Growth,0.7312833423245291
1948-07-01,Manufacturing Total 3mo3m Growth,Manufacturing 3mo3m Growth,4.713523447534107
1948-07-01,Durable Manufacturing,Manufacturing,7.6426
1948-07-01,Durable Manufacturing Growth,Manufacturing Growth,-0.1893667315302161
1948-07-01,Durable Manufacturing 3mo3m Growth,Manufacturing 3mo3m Growth,1.945118903092169
1948-07-01,Mining,Mining,53.0316
1948-07-01,Mining Growth,Mining Growth,0
1948-07-01,Mining 3mo3m Growth,Mining 3mo3m Growth,10.285823614554035
1948-07-01,Electric and Gas Utilities,Utilities,7.419
1948-07-01,Electric and Gas Utilities Growth,Utilities Growth,1.3884713149479255
1948-07-01,Electric and Gas Utilities 3mo3m Growth,Utilities 3mo3m Growth,1.8822494385664301
1948-08-01,Total Index,Total,14.5962
