Point Forecast,Lo 80,Hi 80,Lo 95,Hi 95
100.26691750391767,98.7444132197782,101.78942178805714,97.93844813643403,102.5953868714013
100.28353775701751,98.1823458452173,102.38472966881773,97.07004203631648,103.49703347771855
100.33164457214906,97.8969911554056,102.76629798889252,96.60816348878996,104.05512565550816
100.39809016934524,97.72607612682926,103.07010421186122,96.31159733494174,104.48458300374874
100.47252393705463,97.603621918126,103.34142595598327,96.08491692735551,104.86013094675376
100.54991659356176,97.50392086778226,103.59591231934127,95.89146813147917,105.20836505564435
100.62827064105815,97.41710273727996,103.83943854483634,95.71721313160737,105.53932815050894
100.7068961366927,97.3392324101481,104.07455986323731,95.55649892012462,105.85729335326079
100.78558409201977,97.26851096839023,104.30265721564932,95.40668492117109,106.16448326286846
100.8642807622713,97.20390969223762,104.524651832305,95.26622629438911,106.4623352301535
100.9429758799609,97.14470656267954,104.74124519724225,95.1340242422705,106.7519275176513
101.02166903978497,97.09033200499476,104.95300607457517,95.00920789000448,107.03413018956546
101.1003611430729,97.04031347850048,105.16040880764533,94.89105407184607,107.30966821429973
101.17905280234545,96.99425058838983,105.36385501630107,94.77895011253212,107.57915549215879
101.25774430133899,96.95180022233934,105.56368838033863,94.6723711168457,107.84311748583228
101.33643574952853,96.91266586534319,105.76020563371388,94.57086354626595,108.10200795279111
101.41512718381492,96.87658933917595,105.95366502845388,94.47403253173644,108.3562218358934
101.49381861507821,96.84334427468892,106.1442929554675,94.38153186576015,108.60610536439627
101.57251004600585,96.8127309104607,106.33228918155099,94.29305603818425,108.85196405382744
101.6512014770628,96.78457191997066,106.51783103415494,94.20833385125228,109.09406910287332
101.7298929082389,96.75870903806596,106.70107677841183,94.12712325930563,109.33266255717216
101.80858433947536,96.73500031087096,106.88216836807976,94.04920716265728,109.56796151629344
101.88727577073635,96.71331783515176,107.06123370632095,93.97438995021015,109.80016159126255
101.965967202006,96.69354588510012,107.23838851891188,93.90249463462212,110.02943976938988
