Region,Short_Sector,ValidRows,MinDate,MaxDate,SD,MissingValues
UK,Manufacturing Total,918,1948-01-01,2024-06-01,22.886404883258404,0
US,Manufacturing Total,928,1948-01-01,2025-04-01,30.18042326558917,0
