Point Forecast,Lo 80,Hi 80,Lo 95,Hi 95
100.34723320613261,98.49685371522823,102.197612697037,97.5173219817934,103.17714443047183
100.44594019839731,97.93359202043871,102.95828837635591,96.60363523165869,104.28824516513593
100.54464719066199,97.51039432845364,103.57890005287034,95.904157888627,105.18513649269698
100.64335418292669,97.1636553986862,104.12305296716717,95.32161413163118,105.96509423422219
100.74206117519138,96.86691716017468,104.61720519020808,94.81553983298453,106.66858251739824
100.84076816745608,96.606147625159,105.07538870975316,94.36447491930359,107.31706141560856
100.93947515972076,96.37284381772922,105.5061065017123,93.95541521112891,107.9235351083126
101.03818215198545,96.1613920853885,105.9149722185824,93.57977536783793,108.49658893613298
101.13688914425015,95.96785655124198,106.30592173725832,93.23153598516409,109.04224230333621
101.23559613651484,95.7893515782139,106.68184069481579,92.90628386203686,109.56490841099283
101.33430312877954,95.62368713102383,107.04491912653525,92.60066962852854,110.06793662903054
101.43301012104422,95.46915465649157,107.39686558559687,92.31208027803916,110.55393996404928
101.53171711330891,95.32439089535265,107.73904333126518,92.03843088544227,111.02500334117556
101.63042410557361,95.18828753440519,108.07256067674203,91.77802643196706,111.48282177918016
101.7291310978383,95.05992914504763,108.39833305062898,91.52946689038275,111.92879530529386
101.827838090103,94.9385492846895,108.7171268955165,91.29158008789973,112.36409609230627
101.92654508236768,94.82349865930145,109.02959150543391,91.06337301499187,112.7897171497435
102.02525207463238,94.71422152918639,109.33628262007836,90.84399574113709,113.20650840812766
102.12395906689707,94.61023789094759,109.63768024284656,90.63271416448943,113.61520396930472
102.22266605916177,94.51112979635444,109.9342023219691,90.42888908838957,114.01644302993397
102.32137305142645,94.4165306917402,110.22621541111269,90.2319599173808,114.41078618547209
102.42008004369114,94.32611700098624,110.51404308639604,90.04143178449418,114.79872830288811
102.51878703595584,94.2396014008053,110.79797267110638,89.85686526668178,115.1807088052299
102.61749402822053,94.15672739029043,111.07826066615064,89.67786807965864,115.55711997678243
