Region,Short_Sector,Group,Observations,Mean,SD,Min,Max,Median
UK,Chemicals Growth,Chemicals Growth,318,2.9522012578616366,16.07036905925599,-37.2,78.8,0.8500000000000001
UK,Electric and Gas Utilities,Utilities,330,93.18606060606061,17.39824397025732,58.5,137.5,92.1
UK,Engineering and Allied Industries Growth,Aggregate Growth,318,3.1374213836477978,9.256711212845904,-32,65.9,3.7
UK,MIG Consumer Goods Growth,Consumer Goods Growth,318,2.818553459119497,5.718998316969417,-8.8,20,3
UK,MIG Consumer Non-Durables 3mo3m Growth,Consumer Goods 3mo3m Growth,327,0.4110091743119264,2.0432444179415534,-5.3,8.1,0.3
UK,MIG Consumer Non-Durables Growth,Consumer Goods Growth,318,1.736163522012579,5.5768714926112875,-13,16.9,1.7
UK,Manufacturing Total,Manufacturing,918,62.571677559912835,22.886404883258404,24.6,111.5,57.150000000000006
UK,Mining,Mining,918,323.9567538126365,159.93855415385931,31.8,635.5,317.2
UK,Mining Growth,Mining Growth,318,-5.908176100628929,10.795936077043823,-41.9,34.2,-6.199999999999999
UK,Pharmaceuticals,Manufacturing,330,107.42969696969696,17.34561505424415,72.6,159.1,104.85
UK,Wood and Paper Products Growth,Manufacturing Growth,318,1.8003144654088057,7.973277524013077,-33.1,42.6,2.55
US,Automotive Products,Consumer Goods,928,53.33509903017241,30.36485515612193,8.9303,114.5012,44.48235
US,Automotive Products 3mo3m Growth,Consumer Goods 3mo3m Growth,923,1.0396388247560115,9.11346318930149,-50.70663327414593,103.50170498478232,0.8407306050429053
US,Automotive Products 3mo3my Growth,Consumer Goods 3mo3my Growth,911,4.708864367116466,15.71927618259701,-49.31073146924133,98.25824417637034,4.19862001032032
US,Automotive Products Growth,Consumer Goods Growth,927,0.46511020935281694,7.135769861357339,-62.47590262722349,95.70172645696204,0.2897100206903591
US,Consumer Goods,Consumer Goods,928,71.64466648706896,28.75255916864134,20.1689,111.7575,73.4395
US,Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,923,0.5340795266760494,1.7215318522054575,-10.895742418717704,12.065193705935371,0.5126550013019981
US,Consumer Goods 3mo3my Growth,Consumer Goods 3mo3my Growth,911,2.7759800391247578,4.866621172196345,-11.709028070517924,22.24333947206876,2.2784171713913226
US,Consumer Goods Growth,Consumer Goods Growth,927,0.1771771786015456,1.0930703417784688,-11.4537606971443,9.034488185564026,0.1836535937517647
US,Durable Consumer Goods,Consumer Goods,928,59.71359353448274,31.982894871875118,12.110900000000001,109.8167,52.8755
