Lag,ACF
0,1
1,-0.025175377228063255
2,-0.11069689166908875
3,-0.09994072334960231
4,-0.0598713025452918
5,0.027063886765610806
6,-0.04884855308222481
7,-0.024843476538336462
8,0.07573530626181212
9,0.015573155176048408
10,-0.009694805329949024
11,0.03908856170611605
12,-0.01706624131525821
13,-0.024848462499702975
14,-0.016788758499648986
15,0.03588219497194964
16,-0.019285463032309696
17,0.0731632860837139
18,0.04262678556034662
19,-0.0057805327038630405
20,-0.0438880829864185
21,0.02181295607683853
22,-0.08842893939992923
23,0.07965021550553214
24,-0.05201219287475627
25,0.027798568340184016
26,0.016886900779313166
27,-0.04874944705120754
28,0.07205251015001256
29,-0.006374588735075499
