Lag,ACF
0,1
1,0.996362053448803
2,0.9927841803074792
3,0.9895061444196321
4,0.9864206708819823
5,0.9835070355569083
6,0.9805621009178984
7,0.9776800187081571
8,0.9748613968815592
9,0.9718402743193744
10,0.9687278934000174
11,0.9657594547532644
12,0.9626494075578834
13,0.9595917760239872
14,0.9566313140390745
15,0.9537227506674434
16,0.9507305995493415
17,0.9477963104270256
18,0.9446847315882121
19,0.9415082004744011
20,0.9383334726083968
21,0.9352352254351021
22,0.932040701685063
23,0.9289988458959058
24,0.9257766712931614
25,0.9226793471120058
26,0.9195069361414688
27,0.9162936852034688
28,0.9131901243663569
29,0.9099409901885666
